35,d3b,322863,1744213
69,b5a,182986,1529568
24,255,467945,101569
9,c7d,24505,1008777
23,e2e,362359,1216285
31,7e3,93135,2380311
4,aec,451474,823616
98,cee,171945,36267
50,e58,272817,839321
64,ac6,334030,1997898
40,f9b,40991,1968711
70,4f2,440946,1539361
30,e87,154819,2177473
2,6ef,93792,2441187
62,eed,210143,1769069
25,4e2,106836,2097146
67,22e,450600,1182048
41,cec,26185,1013286
44,f1f,158782,456168
28,f8e,57102,1174268
86,bfd,278218,1583778
56,6bb,17149,1060594
46,777,394987,871332
73,cc4,270676,1557710
93,86a,389977,592278
27,4c5,469174,2316011
98,e35,478296,1985253
8,ba8,165808,744527
20,aee,71331,2404655
89,bed,358817,1203036
29,2da,355842,607142
16,b79,263439,2390864
21,c3b,70388,908542
42,3f5,405167,2529009
44,8b4,145438,1503610
54,e32,156526,707062
93,ac3,343963,1724004
48,087,316482,1626787
24,9b9,313894,569984
53,839,115999,2190029
45,4e2,23773,1173654
76,515,258462,1144745
23,72c,464982,112739
32,91c,301334,1982580
61,adb,45940,156034
18,aac,410793,465071
62,cb9,389422,2360910
97,3fa,477744,2529920
87,6cc,348409,2183772
67,bcf,248590,60020
8,94a,139151,1466856
96,9b3,372973,1315988
89,eab,424135,1920315
30,8ac,2294,939907
91,3de,169864,1172532
59,428,334502,2511945
29,deb,323126,617063
32,da1,113307,2420373
20,24a,49432,1651461
51,c73,272697,165693
73,115,423448,2281550
59,aff,413347,749671
5,27b,355291,2453956
3,8dc,496990,14923
51,bea,440238,911931
26,cb0,212962,424489
78,a37,181253,873760
21,eb1,470652,66869
46,35a,212552,1228419
2,952,489078,1815141
35,326,143433,1488152
89,8d4,225055,2465617
46,f22,300582,1053478
53,de0,412738,2072767
6,994,416113,1070797
16,cbb,186515,2177553
73,caf,340296,2469530
70,b5d,56273,2462567
73,fbd,141322,1897014
2,324,477901,287287
48,8d2,438999,2495660
43,51c,264229,2172967
85,60e,40795,899950
67,2b5,363139,820153
74,c5d,153612,1588319
22,dcc,364252,2241057
7,67c,215714,1823123
44,7cb,405581,2153245
83,20c,273628,1675316
65,95c,132851,784591
50,ccb,448243,225140
49,2b0,110927,404729
9,cfd,232783,1582449
26,ffa,216701,915310
71,10f,319347,1745952
48,5b0,321939,866134
63,9e2,497365,1668015
55,c7c,42572,1662410
34,831,129754,910914
30,06c,425676,134137
25,ddc,224937,1242025
25,cee,128420,2368472
68,cbe,455186,309035
34,07c,24288,1427400
42,66e,354858,144416
59,3f0,134440,1758296
44,c65,183040,1765260
11,cfc,107625,529886
54,bdf,81625,1079707
53,c3f,465993,1063671
92,dc6,65740,2273334
2,a2c,450006,2175182
29,c34,373380,1259574
42,a2a,260394,1654266
2,f47,185823,1690782
44,cbd,434429,831305
12,785,331338,2109516
13,e68,156371,2021493
77,39f,259563,1080828
53,a3b,285342,2167594
32,635,240959,1146398
97,c70,358850,2573408
73,cac,409539,2397632
45,c0e,265829,1084365
10,fb0,142833,1964915
20,b1b,172318,1359450
38,a1e,412069,366057
74,a42,266603,2242115
57,b11,150106,1133180
57,c59,383528,379086
5,b12,472767,85305
33,6e5,382693,30265
27,8f4,60111,1280474
78,c0a,128757,408222
81,b7c,302735,1867150
32,fb3,39012,1565573
95,c44,50520,2248912
98,afa,182030,596598
9,b09,159003,264198
66,adf,488229,1312610
61,8b8,414922,175188
30,414,448940,2508202
14,c8b,75836,2016559
44,df7,63438,2517926
79,fd0,379104,103814
89,5b4,345630,1290186
75,f6f,248370,2306540
64,a71,424052,2245800
81,a89,47655,1654269
7,6f8,184485,1923636
54,b9e,436795,1215540
52,9aa,186244,1071838
86,d58,460680,2476271
24,661,176778,267060
7,c95,337897,2170091
25,75f,278868,2315959
42,b5c,92450,469960
65,685,198213,910389
52,dcf,121282,1900101
92,67f,112489,163746
16,575,397739,1761119
25,2dc,45787,688856
99,5c0,249951,106727
72,185,192499,1764516
27,be2,207431,1505719
98,8b0,43811,797127
43,6f9,299140,699940
46,f0a,147710,1160910
77,bc9,392598,1162974
40,ea5,33202,199671
26,752,253450,816796
15,cbc,282982,178280
52,efe,255879,811802
37,cfb,1275,1818442
14,73d,200283,1400627
16,aae,198526,1837657
51,f5b,70319,2137045
41,ea7,379322,1228604
72,7c0,447462,1943869
78,32d,249493,468599
13,e88,69235,604099
86,f54,352133,377214
53,c77,374647,813021
55,c2d,147298,1377806
33,b3f,495749,1358614
97,0f8,387376,328448
52,56c,281790,1188271
56,8bf,328797,915971
89,3c3,47771,436755
88,b0a,103440,1607242
4,5ba,123318,1507694
58,0e9,341073,593976
48,1ce,203050,2036141
3,7da,51811,695948
7,1cb,314166,1066513
82,7a5,407992,125179
24,7ba,479806,827920
64,ffa,494492,880923
45,f5e,262938,2220845
75,260,60057,1773265
7,6da,181053,916669
65,4a4,308208,1842796
42,0aa,428657,1372512
25,4e0,221271,1459815
33,fa2,85310,1771676
3,9ed,245306,140526
76,8f1,10512,426981
17,9ca,455836,232526
